longitude,latitude,county,location,address,city
-84.215062,34.2024959,Forsyth,Midway Park Community Building,5100 Post Road,"Cumming, GA  30040"
-84.163131,34.1180612,Forsyth,Sharon Springs Park Community Building,1950 Sharon Road,"Cumming, GA  30041"
-84.13868,34.2073343,Forsyth,"Voter Registrations & Elections Office, Forsyth County Administration Bldg",110 East Main Street,"Cumming, GA  30040"
-83.8769938,34.2776167,Hall,Hall County Board of Elections and Voter Registrat,2875 Browns Bridge Road,"Gainesville, GA  30501"
-84.847128,33.917349,Paulding,"Board of Elections and Registration, Watson Government Complex, First Floor",240 Constitution Blvd.,"Dallas, GA  30132"
-84.8415947,34.0352083,Paulding,Burnt Hickory Park,8650 Cartersville Hwy,"Dallas, GA  30132"
-84.7708603,33.9436681,Paulding,Mt. Tabor Park,1550 East Paulding Dr,"Dallas, GA  30157"
-84.7629309,33.8634053,Paulding,Poplar Springs Baptist Church,2056 Hiram Douglasville Hwy,"Hiram, GA  30141"
-83.7091401,33.9967351,Barrow,Barrow County Administration Building,233 East Broad Street,"Winder, GA  30680"
-85.071579,33.5838589,Carroll,"Carroll County Board of Elections and Registration, Lower Level",423 College Street,"Carrollton, GA  30117"
-84.9288121,33.7290987,Carroll,POWELL PARK ART CENTER,424 LESLIE DR,"VILLA RICA , GA  30180"
-84.353608,33.52071,Clayton,Clayton County Elections and Registration,121 S. McDonough Street,"Jonesboro, GA  30236"
-84.2762357,33.587247,Clayton,Carl Rhodenizer Recreation Center,3499 Rex Road,"Rex, GA  30273"
-84.3633345,33.5532549,Clayton,Lee Headquarters Library,865 Battle Creek Road,"Jonesboro, GA  30236"
-84.340798,33.583658,Clayton,"Morrow Municipal Complex, Community Room",1500 Morrow Road,"Morrow, GA  30260"
-84.3308016,33.4480994,Clayton,South Clayton Recreation Center,1837 McDonough Road,"Hampton, GA  30228"
-84.437761,33.5900625,Clayton,Virginia Burton Gray Recreation Center,1475 East Fayetteville Road,"Riverdale, GA  30274"
-84.018625,33.652711,Rockdale,,"1400 Parker Road, Lobby C","Conyers, GA  30094"
-84.7987338,33.3743085,Coweta,Coweta County Voter Registration Office,"22 East Broad Street, Room 128","Newnan, GA  30263"
-84.4564211,33.4471469,Fayette,Fayette County Elections Office,"140 Stonewall Avenue West, Suite 209","Fayetteville, GA  30214"
-84.5831162,33.3988896,Fayette,Peachtree City Library,201 Willowbend Road,"Peachtree City , GA  30269"
-84.5968589,33.4751976,Fayette,Tyrone Town Hall,881 Senoia Road,"Tyrone , GA  30290"
-84.2500625,33.2428168,Spalding,Memorial Drive Plaza,825 Memorial Drive,"Griffin, GA  30224"
-84.1599298,33.434396,Henry,Elections and Registration,345 Phillips Drive,"McDonough, GA  30253"
-84.2362858,33.5492835,Henry,Merle Manders Conference Center,111 Davis Rd,"Stockbridge, GA  30281"
-84.1866298,33.6067239,Henry,Fairview Library,28 Austin Rd,"Stockbridge, GA  30281"
-84.274237,33.383234,Henry,Fortson Library,61 McDonough St,"Hampton, GA  30228"
-84.1122617,33.3509495,Henry,Locust Grove Recreation Center,10 Cleveland St.,"Locust Grove, GA  30248"
-83.859156,33.5977453,Newton,Registrar's Office/Newton Administration Bldg.,"1113 Usher Street,","Covington, GA  30014"
-84.0045568,33.5263208,Newton,Porter Memorial Branch Library,6191 Highway 212,"Covington, GA  30016"
-83.6989342,33.7977874,Walton,Walton County Elections Office,303 S. Hammond Drive,"Monroe, GA  30655"
-84.5129982,33.6886564,Fulton,Ben Hill Recreation Center,2405 Fairburn Road SW,"Atlanta, GA 30331"
-84.336664,33.7519124,Fulton,Coan Park Recreation Center,"1530 Woodbine Avenue, SE","Atlanta, GA 30317"
-84.4137157,33.7126213,Fulton,Perkerson Park Recreation Center,"770 Deckner Avenue, SW","Atlanta, GA 30310"
-84.3552663,33.7741759,Fulton,Ponce De Leon Library,980 Ponce De Leon Avenue NE,"Atlanta, GA 30306"
-84.3792862,33.8377839,Fulton,Buckhead Library,269 Buckhead Avenue NE,"Atlanta, GA  30305"
-84.5416523,33.7296369,Fulton,SouthWest Arts Center,915 New Hope Road SW,"Atlanta, GA  30331"
-83.2285435,33.0815549,Baldwin,121 N Wilkinson St,Ste 104,"Milledgeville, GA  31061"
-83.2552197,31.7139029,Ben Hill,Ben Hill Elections Office,115 W Pine Street,"Fitzgerald, GA  31750"
-81.721063,30.9681185,Camden,Voter Registration,200 E 4th St,"Woodbine, GA  31569"
-83.4167206,31.12107,Cook,Cook County Administration Building,1200 S Hutchinson Ave,"Adel, GA  31620"
-84.9434666,31.3787738,Early,Elections and Registration Office,15157 River Street,"Blakely, GA"
-83.235869,34.369048,Franklin,Elections & Registration Office,211 Athens Street,"Carnesville, GA  30521"
-81.5958437,31.8477693,Liberty,100 N. Main St. Suite 1600,Historical Courthouse,"Hinesville, GA  31313"
-81.4533188,31.7984767,Liberty,liberty County Complex,9397 E. Oglethorpe Hwy,"Midway, GA  31320"
-82.6861835,31.9299842,Telfair,City of Lumber City City Hall,301 Main St,"Lumber City, GA  31549"
-81.879965,31.6041842,Wayne,Wayne County Courthouse Registrar's Office,174 North Brunswick Street,"Jesup, GA  31546"
